name,region,state,tier,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc,fy2016_endowment_pc,fy2016_endowment_thousands,log_endow_pc,is_ivy
Northeastern University,1,MA,4,Highly selective private,2,10817.113,13223,43440,18570,0.8256016742239275,10839.097,1420,NA,0.024375604,8.9390454e-4,108300,0.051461115,0.099958181,0.14783362,0.21762224,0.48312482,0.16613449,0.037825361,61800,0.20157698,0.03609914,35857.2488,693025,10.487301023635917,FALSE
Northwestern University,2,IL,2,Other elite schools (private and public),2,29649.398,9283,47251,15841,0.9418898433552296,14525,1475,NA,0.016942441,0.002434755,168500,0.030700425,0.054111414,0.085163251,0.14800173,0.68202323,0.41565529,0.14244716,72600,0.35380748,0.14205506,516653.1191,9648497,13.155126978786766,FALSE
Oberlin College,2,OH,2,Other elite schools (private and public),2,24666.25,2894,48682,10774,0.8865836791147994,9872,1355,NA,0.012481108,9.4602274e-4,127100,0.041793931,0.068592668,0.12776509,0.19382237,0.56802601,0.29523271,0.077537186,38900,0.086156696,0.016003484,264002.3992,770271,12.483713469965947,FALSE
Occidental College,4,CA,2,Other elite schools (private and public),2,15477.158,2055,47522,15635,0.8777292576419214,10402,1300,NA,0.033389218,0.0017558632,122400,0.085336223,0.098447613,0.12118489,0.17474446,0.5202868,0.27686492,0.086651601,49000,0.1385643,0.039994642,185130.3337,371680,12.128815362498747,FALSE
Pepperdine University,4,CA,4,Highly selective private,2,10990.709,3538,46692,17229,0.8042609853528628,11650,1225,NA,0.018597502,0.0029772737,124100,0.04315082,0.079490021,0.14115372,0.18051618,0.55568922,0.28832242,0.11783572,55800,0.22252442,0.052035838,124961.2432,781341,11.735758913807635,FALSE
Pitzer College,4,CA,4,Highly selective private,2,21433.299,1081,47020,11907,0.8214285714285714,10084,NA,NA,0.022146214,0.0017053715,131900,0.062417161,0.087090917,0.099069104,0.16149834,0.58992445,0.35811493,0.13643451,43500,0.12010661,0.023460168,121342.7843,126965,11.706374747499716,FALSE
Pomona College,4,CA,2,Other elite schools (private and public),2,29610.455,1610,45832,4712,0.9573333333333331,12326,1460,NA,0.019502569,6.2907249e-4,161600,0.036810484,0.065381095,0.088323444,0.12827909,0.68120587,0.38768524,0.12397808,62000,0.25608358,0.10563219,1199354.079,1984931,13.997293702340272,FALSE
Princeton University,1,NJ,1,Ivy Plus,2,37336.176,5323,41820,5932,0.9694288012872084,15711,1500,NA,0.013457949,0.0029252854,218100,0.020432552,0.041464746,0.06235626,0.10820626,0.76754022,0.5258593,0.20105956,90700,0.45165357,0.23158072,2750278.927,22152580,14.827212892499283,TRUE
Quinnipiac University,1,CT,4,Highly selective private,2,11963.098,6542,40670,26380,0.7627118644067796,8649,1090,NA,0.0090074828,1.040901e-4,127000,0.018561233,0.056654323,0.12257633,0.20969975,0.59250844,0.21665531,0.04381074,60000,0.16914493,0.029493261,45150.59353,387964,10.71775870449516,FALSE
Reed College,4,OR,2,Other elite schools (private and public),2,18306.633,1395,47760,12374,0.8189910979228487,10092,1385,NA,0.011408932,0,121900,0.042067382,0.1039931,0.13764822,0.16798943,0.54830182,0.28037161,0.080454804,36900,0.098846145,0.021405617,351251.8274,496553,12.769258702178837,FALSE
