ID,GUID,URL,LAST_ACCESSED,CROP_TOP,CROP_RIGHT,CROP_BOTTOM,CROP_LEFT,exp_q1_res_count,exp_q1_mean,exp_q1_median,exp_q1_sd,exp_q2_res_count,exp_q2_mean,exp_q2_median,exp_q2_sd,exp_q3_res_count,exp_q3_mean,exp_q3_median,exp_q3_sd,exp_q4_res_count,exp_q4_mean,exp_q4_median,exp_q4_sd,exp_congruence_mean,exp_congruence_median,exp_congruence_sd,con_q1_res_count,con_q1_mean,con_q1_median,con_q1_sd,con_q2_res_count,con_q2_mean,con_q2_median,con_q2_sd,con_q3_res_count,con_q3_mean,con_q3_median,con_q3_sd,con_congruence_mean,con_congruence_median,con_congruence_sd
0702,65f4d6401113caacba192b4a,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/1920w/products/15875/18496/diamond_tile__20709.1711123837.jpg,2024-11-22,0.0,0.599,0.599,0.0,0,,,,0,,,,0,,,,0,,,,,,,17,3.3529411764705883,4.0,1.1147408034263075,13,2.8461538461538463,3.0,1.4051188470584879,20,3.85,4.0,1.1367080817685318,2.0076923076923077,2.0,0.5807560872643607
0703,65f4d6401113caacba192b4b,https://www.wallsandfloors.co.uk/img/2300/2300/resize/catalog/product/m/e/meet-me-matt-grey-rectified-598x598-bathroom-wall-floor-2300-8.jpg,2024-11-22,0.375,1.0,1.0,0.375,0,,,,0,,,,0,,,,0,,,,,,,24,2.4583333333333335,2.5,1.141287094417552,15,2.466666666666667,2.0,1.3020130933435712,22,2.227272727272727,2.0,1.0203555954301133,0.47878787878787943,1.0,0.5633149958269157
0704,65f4d6401113caacba192b4c,https://www.thetilecollective.com.au/wp-content/uploads/2023/06/Terrazzo-Stone-Marshmallow-lifestyle-2.jpeg,2024-11-22,0.444,0.778,1.0,0.222,0,,,,0,,,,0,,,,0,,,,,,,15,2.8666666666666667,3.0,1.4573295865416045,11,1.8181818181818181,2.0,0.873862897505303,14,2.7142857142857144,3.0,1.4373357526806554,2.096969696969697,2.0,1.166933378072603
0705,65f4d6401113caacba192b4d,https://i0.wp.com/diaryofatileaddict.com/wp-content/uploads/2024/04/cats-header.png,2024-11-22,0.0,0.901,1.0,0.526,0,,,,0,,,,0,,,,0,,,,,,,20,3.2,3.5,1.1964860832322377,12,2.5833333333333335,2.0,1.2401124093721454,18,3.3333333333333335,4.0,1.4142135623730951,1.5,4.0,0.4354549582817149
0706,65f4d6401113caacba192b4e,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/1200x1582/products/9121/10024/creek_augustine_tiles__76527.1570397630.PNG,2024-11-22,0.398,0.598,1.0,0.0,0,,,,0,,,,0,,,,0,,,,,,,9,3.5555555555555554,4.0,0.5270462766947299,20,3.1,3.0,1.1652874052533586,15,2.933333333333333,3.0,1.3870146083619752,1.2444444444444445,2.0,1.7199366633344906
0707,65f4d6401113caacba192b4f,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/14684/16825/amalfi_9__50329.1664055860.jpg,2024-11-22,0.0,1.0,0.604,0.396,0,,,,0,,,,0,,,,0,,,,,,,17,3.2941176470588234,4.0,1.5315313367000094,8,2.25,2.0,1.3887301496588271,18,3.1666666666666665,3.0,1.1504474832710556,2.0882352941176467,4.0,0.7621677068579076
0708,65f4d6401113caacba192b50,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/13390/15917/cronincompany-Amazon-main__39151.1659628083.jpg,2024-11-22,0.446,0.553,1.0,0.013,0,,,,0,,,,0,,,,0,,,,,,,13,3.0,3.0,0.9128709291752769,24,3.0,3.0,1.2510864843424485,14,3.0714285714285716,3.0,1.3847680013570567,0.14285714285714324,0.0,0.9437941443635596
0709,65f4d6401113caacba192b51,https://tileandmosaicdepot.com/cdn/shop/products/CalacattaGoldBrassHex_700x.jpg,2024-11-22,0.109,1.0,0.951,0.158,0,,,,0,,,,0,,,,0,,,,,,,17,3.0588235294117645,3.0,0.8993461677306268,17,2.7058823529411766,2.0,1.2631659571466125,22,2.9545454545454546,3.5,1.4631106043948423,0.7058823529411757,3.0,1.127528873328431
0710,65f4d6401113caacba192b52,https://mosaictiledirect.net/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/x/3x3-honeycomb-hexagon-marble-tile.jpg,2024-11-22,0.0,1.0,0.65,0.35,0,,,,0,,,,0,,,,0,,,,,,,15,2.8,2.0,1.2649110640673518,14,2.142857142857143,2.0,1.0994504121565505,14,2.642857142857143,2.5,1.1507283885330302,1.314285714285714,1.0,0.33092130382160256
0711,65f4d6401113caacba192b53,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15176/17575/argile_dark_tile__55423.1677428543.jpg,2024-11-22,0.0,0.769,0.579,0.22,0,,,,0,,,,0,,,,0,,,,,,,17,3.235294117647059,3.0,0.7524469885568253,16,2.8125,3.0,1.2230426539304888,20,2.8,3.0,1.2814465510343749,0.8705882352941181,0.0,1.057999124955099
0712,65f4d6401113caacba192b54,https://i.pinimg.com/736x/8e/ab/50/8eab507e1de14d992046f98737902bfa.jpg,2024-11-22,0.065,1.0,0.533,0.296,0,,,,0,,,,0,,,,0,,,,,,,18,2.7777777777777777,3.0,1.0602749674192766,18,3.111111111111111,3.0,1.2313975269103985,19,3.210526315789474,4.0,1.2727462594467416,0.8654970760233924,2.0,0.4249425840549299
0713,65f4d6401113caacba192b55,https://www.flooringxtra.com.au/wp-content/uploads/2023/02/floor-image-gimp.jpg,2024-11-22,0.326,0.873,0.885,0.127,0,,,,0,,,,0,,,,0,,,,,,,18,2.611111111111111,2.0,1.6851911704746592,18,1.8888888888888888,1.5,1.1826634392157036,20,2.65,2.0,1.268027892769755,1.5222222222222221,1.0,1.0050554625179111
0714,65f4d6401113caacba192b56,https://cdn.shopify.com/s/files/1/2395/6385/files/seashell-dreams-herringbone-mosaic-tile.jpg,2024-11-22,0.006,0.996,0.558,0.444,0,,,,0,,,,0,,,,0,,,,,,,21,3.3333333333333335,4.0,1.0645812948447542,9,3.0,3.0,1.0,17,2.823529411764706,2.0,1.4245742398014511,1.0196078431372548,4.0,0.8491484796029023
0715,65f4d6401113caacba192b57,https://www.starelstones.co.uk/app/uploads/2021/11/Calacatta-Marble-Slim-Herringbone-Mosaic.jpg,2024-11-22,0.0,0.963,0.651,0.34,0,,,,0,,,,0,,,,0,,,,,,,12,3.3333333333333335,3.0,1.1547005383792515,17,2.9411764705882355,3.0,1.1440382552221602,25,3.12,3.0,1.2355835328567093,0.784313725490196,0.0,0.18309055526909823
0716,65f4d6401113caacba192b58,https://www.plumbingworld.co.uk/media/catalog/product/cache/fe08d4e89807809134a80e9ec7eccfc6/c/e/central-light-grey-wall-tile-100mm-x-200mm-gloss-ceramic-lifestyle.jpg,2024-11-22,0.0,0.704,0.526,0.178,0,,,,0,,,,0,,,,0,,,,,,,23,3.0,3.0,0.9045340337332909,14,2.9285714285714284,3.0,1.071611705960535,17,2.4705882352941178,2.0,1.1245914290767742,1.0588235294117645,2.0,0.4401147906869667
0717,65f4d6401113caacba192b59,https://gvgstone.com/cdn/shop/products/3_e410a7a9-1f85-4e91-ad44-23d231bd4978_1200x1200.jpg,2024-11-22,0.11,0.893,0.961,0.063,0,,,,0,,,,0,,,,0,,,,,,,13,2.076923076923077,2.0,1.0377490433255416,23,1.9130434782608696,2.0,1.1246431142310664,15,2.466666666666667,2.0,1.1872336794093274,1.1072463768115943,0.0,0.29896927216757163
0718,65f4d6401113caacba192b5a,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15185/17593/argile_cotto_tiles__82798.1677429414.jpg,2024-11-22,0.0,0.945,0.57,0.405,0,,,,0,,,,0,,,,0,,,,,,,20,3.25,3.0,1.019545822516343,17,2.588235294117647,2.0,1.3719886811400708,16,2.4375,2.0,0.963932916061417,1.625,2.0,0.8161115301573076
0719,65f4d6401113caacba192b5b,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15169/17557/argile_khaki__78051.1677427560.png,2024-11-22,0.021,1.0,0.63,0.391,0,,,,0,,,,0,,,,0,,,,,,,16,2.8125,2.5,1.42448821218944,16,2.6875,2.0,1.1954775893619531,16,2.875,3.0,1.3102162671355697,0.375,2.0,0.4580212456549737
0720,65f4d6401113caacba192b5c,https://mosaichse.com/cement/chelsea/02B.jpg,2024-11-22,0.0,1.0,0.862,0.138,0,,,,0,,,,0,,,,0,,,,,,,20,3.35,3.5,1.0894228312566052,13,3.230769230769231,4.0,1.640825308284734,16,2.75,3.0,1.1832159566199232,1.2000000000000002,2.0,1.1028049540562574
0721,65f4d6401113caacba192b5d,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15187/17597/argile_cacoa_4x4__43141.1677429614.jpg,2024-11-22,0.428,0.539,1.0,0.0,0,,,,0,,,,0,,,,0,,,,,,,14,2.142857142857143,2.0,0.8644378215075665,20,2.4,2.0,0.8207826816681233,20,2.3,2.0,1.1742858972247996,0.5142857142857142,0.0,0.7070064311133526
0722,65f4d6401113caacba192b5e,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15170/17560/argile_dark___53981.1677427760.jpg,2024-11-22,0.0,0.688,0.574,0.148,0,,,,0,,,,0,,,,0,,,,,,,20,3.05,3.0,0.7591546545162482,19,3.0,3.0,1.1547005383792515,23,3.260869565217391,4.0,1.1761799222424119,0.5217391304347823,2.0,0.8340505354523273
0723,65f4d6401113caacba192b5f,https://marbleceramiccorp.com.au/8005-large_default/carrara-penny-round-honed-marble-mosaic-tile-23x23.jpg,2024-11-22,0.02,0.785,0.805,0.0,0,,,,0,,,,0,,,,0,,,,,,,16,2.5,2.5,1.2110601416389966,6,2.0,1.5,1.2649110640673518,15,2.6,2.0,1.3522468075656267,1.2000000000000002,2.0,0.2823733318532602
0724,65f4d6401113caacba192b60,https://www.marbleonline.com/media/catalog/product/cache/b50945207b46d4af114f3b00833a1ab0/l/9/l93xp-statuary-white-marble-3-4-inch-penny-round-mosaic-tile-polished_14.jpg,2024-11-22,0.0,1.0,0.825,0.175,0,,,,0,,,,0,,,,0,,,,,,,15,2.1333333333333333,2.0,1.1872336794093274,13,1.8461538461538463,2.0,0.8987170342729172,15,3.2,3.0,1.01418510567422,2.707692307692308,2.0,0.5770332902728206
0725,65f4d6401113caacba192b61,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/1920w/products/14693/16844/khaki_2x10__60681.1664122786.jpg,2024-11-22,0.229,1.0,0.626,0.484,0,,,,0,,,,0,,,,0,,,,,,,14,3.5,4.0,0.8548504142651103,23,2.652173913043478,3.0,1.1524162620801215,16,2.75,2.0,1.2382783747337807,1.695652173913044,4.0,0.7668559209373407
0726,65f4d6401113caacba192b62,http://como-decorar-una-casa-pequena.lagoa.es/wp-content/uploads/2016/12/detalle-cenefa.jpg,2024-11-22,0.001,0.874,0.999,0.126,0,,,,0,,,,0,,,,0,,,,,,,18,1.7222222222222223,1.0,1.227410260553666,16,1.4375,1.0,1.0307764064044151,12,1.75,1.5,0.9653072991634227,0.625,1.0,0.5242059227804867
0727,65f4d6401113caacba192b63,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/15781/18360/Penny_Round_Dark_Grey_Matte__81520.1702751875.jpg,2024-11-22,0.001,0.676,0.72,0.137,0,,,,0,,,,0,,,,0,,,,,,,13,2.1538461538461537,2.0,1.214231845389905,19,1.5789473684210527,1.0,0.837707816583391,20,2.85,3.0,1.2258187382102497,2.542105263157895,4.0,0.7762218432537173
0728,65f4d6401113caacba192b64,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/12649/14447/black_iridescent_mosaic__05715.1652628105.jpg,2024-11-22,0.126,0.999,0.874,0.001,0,,,,0,,,,0,,,,0,,,,,,,15,2.7333333333333334,3.0,0.9611501047232549,15,2.533333333333333,2.0,1.3020130933435712,24,2.4166666666666665,2.0,1.2825472842090009,0.6333333333333337,2.0,0.6817259772406326
0729,65f4d6401113caacba192b65,https://mosaichse.com/cement/daisy/11B.jpg,2024-11-22,0.0,1.0,1.0,0.0,0,,,,0,,,,0,,,,0,,,,,,,21,2.857142857142857,3.0,1.1952286093343936,14,2.5714285714285716,2.0,1.2838814775327387,11,3.3636363636363638,4.0,1.0269106361049412,1.5844155844155843,4.0,0.5139416828555952
0730,65f4d6401113caacba192b66,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/14679/16821/silver_travertine_honed__51266.1663867397.jpg,2024-11-22,0.0,0.761,1.0,0.064,0,,,,0,,,,0,,,,0,,,,,,,14,3.2142857142857144,3.0,0.9749612559222293,18,3.0555555555555554,3.0,1.3048426644944466,20,2.8,3.0,1.1516578439248717,0.8285714285714292,0.0,0.6597628171444347
0731,65f4d6401113caacba192b67,https://cdn11.bigcommerce.com/s-z2oh6/images/stencil/960w/products/14557/16657/44x44m__82260.1713995836.jpg,2024-11-22,0.081,0.872,0.922,0.048,0,,,,0,,,,0,,,,0,,,,,,,18,2.7222222222222223,2.5,1.487420014875958,24,2.25,2.0,1.2937979144666532,26,3.1538461538461537,3.5,1.2228591968761635,1.8076923076923075,3.0,0.529121635999589
0732,65f4d6401113caacba192b68,https://images.victorianplumbing.co.uk/products/stonehouse-studio-valletta-charcoal-patterned-wall-and-floor-tiles-225-x-225mm/mainimages/val-cha_n1.jpg,2024-11-22,0.0,1.0,0.698,0.303,0,,,,0,,,,0,,,,0,,,,,,,16,2.875,2.5,1.3102162671355697,13,2.5384615384615383,2.0,1.6132464481796025,18,3.2222222222222223,4.0,1.3527990831890464,1.367521367521368,4.0,0.6060603620880656
0733,65f4d6401113caacba192b69,https://thumbs.dreamstime.com/b/s-small-square-beige-bathroom-tiles-143818198.jpg,2024-11-22,0.0,0.834,1.0,0.166,0,,,,0,,,,0,,,,0,,,,,,,17,2.7058823529411766,3.0,1.0467035087808378,20,2.35,2.0,1.2258187382102494,14,2.142857142857143,2.0,0.9492622930986467,1.1260504201680677,2.0,0.5531128902232054
