super_opeid,name,region,state,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000
1693,Northeastern Illinois University,2,IL,Selective public,1,7636.2656,8950,8299,14784,0.203448275862069,6988,910,NA
3161,Northeastern State University,3,OK,Selective public,1,5509.9502,7418,5285,4811,0.296875,5721,934.5,50.576218
2199,Northeastern University,1,MA,Highly selective private,2,10817.113,13223,43440,18570,0.8256016742239275,10839.097,1420,NA
1737,Northern Illinois University,2,IL,Selective public,1,9638.5186,15814,13154,17122,0.5095095095095095,7834,1030,37.44223
9275,Northern Kentucky University,3,KY,Selective public,1,5351.9253,12794,8856,4689,0.3789757412398922,6780,1010,NA
2301,Northern Michigan University,2,MI,Selective public,1,5085.8491,8221,9324,8984,0.5239852398523985,7442,NA,1643.9851
20839,Northern New Mexico College,4,NM,Nonselective four-year public,1,5842.3345,1653,4060,5434,NA,5159,NA,2442.1409
3875,Northland College,2,WI,Selective private,2,7966.3896,552,31480,13865,0.5761589403973509,5767,1064,NA
38725,Northland International University,2,WI,Nonselective four-year private not-for-profit,2,3868.7266,261,13380,15011,0.5223880597014925,3139,NA,NA
1510,Northwest Florida State College,3,FL,Nonselective four-year public,1,2389.8127,6708,3124,7823,NA,6186,NA,2633.3252
2496,Northwest Missouri State University,2,MO,Selective public,1,6093.9175,5542,6525,7263,0.4891228070175438,6501,1075,272.17697
1624,Northwest Nazarene University,4,ID,Selective private,2,6447.4395,1488,27340,18762,0.4909090909090909,5691,1040,NA
3783,Northwest University,4,WA,Selective private,2,5812.0464,1438,26968,14831,0.4293785310734463,6395,1012.5,NA
1883,"Northwestern College of Orange City, IA",2,IA,Selective private,2,7705.3994,1233,27860,17934,0.6327160493827161,6206,1092.5,NA
2302,Northwestern Michigan College,2,MI,Nonselective four-year public,1,3847.272,4724,5555,7581,NA,7274,NA,2740.7112
3163,Northwestern Oklahoma State University,3,OK,Selective public,1,4950.7368,2077,5821,3763,0.3140243902439024,5246,NA,NA
2021,Northwestern State University,3,LA,Selective public,1,3864.5322,7836,6786,6605,0.3910472972972973,5898,990,259.41992
1739,Northwestern University,2,IL,Other elite schools (public and private),2,29649.398,9283,47251,15841,0.9418898433552296,14525,1475,NA
4072,Northwood University,2,MI,Selective private,2,6910.3237,4224,23132,10505.159,0.4645892351274788,6513.0083,920.85571,NA
3692,Norwich University,1,VT,Selective private,2,7090.3115,2456,34704,20547,0.567219152854512,7147,1045,NA
3085,Notre Dame College Of Ohio,2,OH,Selective private,2,3802.54,1989,26844,15484,0.3869565217391304,4881,880,NA
2065,Notre Dame Of Maryland University,3,MD,Selective private,2,6158.1982,1234,33010,16549,0.5283018867924528,7064,1035,NA
1509,Nova Southeastern University,3,FL,Selective private,2,11729.328,5156,26700,25324,0.4057377049180329,9482,1125,NA
2790,Nyack College,1,NY,Selective private,2,4947.7773,1831,23800,15616,0.4276315789473684,6525,885,NA
1824,Oakland City University,2,IN,Selective private,2,2428.1482,2311,19800,14730,0.7032258064516129,3610,950,NA
2307,Oakland University,2,MI,Selective public,1,5838.9253,16594,11460,7311,0.4294727354664263,8482,NA,1727.5353
1033,Oakwood University,3,AL,Selective private,2,6284.8052,1861,16720,25558,0.3680709534368071,5307,926,NA
3086,Oberlin College,2,OH,Other elite schools (public and private),2,24666.25,2894,48682,10774,0.8865836791147994,9872,1355,NA
1249,Occidental College,4,CA,Other elite schools (public and private),2,15477.158,2055,47522,15635,0.8777292576419214,10402,1300,NA
14659,Oglala Lakota College,2,SD,Selective public,1,4746.9614,1517,2588,3704,0.3069306930693069,4735,NA,5486.0024
1586,Oglethorpe University,3,GA,Selective private,2,7241.5698,1091,32500,16309,0.6201117318435754,4728,1135,NA
3035,Ohio Dominican University,2,OH,Selective private,2,3386.1125,2005,29430,20714,0.4092071611253197,6712,950,NA
3089,Ohio Northern University,2,OH,Selective private,2,11506.975,2702,28050,18075,0.6851520572450805,8551,1160,NA
3090,Ohio State University,2,OH,Highly selective public,1,15307.114,50551,9673.8926,10214.025,0.7090350477924442,10881.873,1275,23186.162
3100,Ohio University,2,OH,Selective public,1,7195.5537,33575,8923.2461,11905.205,0.5976392627873266,7934.2769,1090,9830.7256
3109,Ohio Wesleyan University,2,OH,Selective private,2,12894.757,1830,41920,24543,0.6319444444444444,8057,NA,NA
3164,Oklahoma Baptist University,3,OK,Selective private,2,5390.9487,2019,22800,13348,0.546031746031746,6090,1113,NA
3165,Oklahoma Christian University,3,OK,Selective private,2,6814.4463,1962,19120,15253,0.4875239923224568,6581,1080,NA
3166,Oklahoma City University,3,OK,Selective private,2,10615.335,1964,29696,19275,0.6075,7055,1165,NA
3174,Oklahoma Panhandle State University,3,OK,Selective public,1,4479.7754,1375,7137,9789,0.3,4967,NA,NA
3170,Oklahoma State University,3,OK,Selective public,1,6434.8384,20660,7442,9677,0.5956284153005464,8254,1105,9002.4346
216,Oklahoma State University - Oklahoma City,3,OK,Nonselective four-year public,1,2651.3755,6996,2859,3903,NA,5513,NA,NA
3172,Oklahoma State University Institute Of Technology - Okmulgee,3,OK,Nonselective four-year public,1,4065.6096,3618,4605,5763,0.072463768115942,4529,NA,NA
3728,Old Dominion University,3,VA,Selective public,1,5907.4136,19819,8970,9852,0.5117389574214086,8729,1020,663.27698
2308,Olivet College,2,MI,Selective private,2,4176.0425,1115,23801,16117,0.4340659340659341,5258,915,NA
1741,Olivet Nazarene University,2,IL,Selective private,2,4573.0186,3335,31390,16051,0.5712250712250713,6769,NA,NA
3784,Olympic College,4,WA,Nonselective four-year public,1,3148.3264,7329,3720,5143,NA,6417,NA,651.77588
3985,Oral Roberts University,3,OK,Selective private,2,5687.4136,2884,23410,19353,0.5336134453781513,6551,975.5,NA
3211,Oregon Institute Of Technology,4,OR,Selective public,1,5884.2622,4366,8445,10722,0.4440298507462687,6667,1025,81.833038
3210,Oregon State University,4,OR,Selective public,1,8724.1006,23939,9078.8154,13854,0.6146603900470746,8744.2334,1105,17325.924
1251,Otis College Of Art & Design,4,CA,Nonselective four-year private not-for-profit,2,16225.813,1032,40490,26972,0.5730994152046783,6936,1010,NA
1937,Ottawa University,4,AZ,Nonselective four-year private not-for-profit,2,13176.451,1551,16347.235,14849,0.3354037267080746,5147.4697,NA,NA
3110,Otterbein University,2,OH,Selective private,2,8120.5747,2479,31624,21210,0.5886075949367089,7287,1114,NA
1102,Ouachita Baptist University,3,AR,Selective private,2,7230.6499,1543,23320,13032,0.6021505376344086,4598,1065,NA
2023,Our Lady Of Holy Cross College,3,LA,Selective private,2,3137.8943,878,10310,10295,0.2804878048780488,5485,NA,NA
31062,Our Lady Of The Lake College,3,LA,Nonselective four-year private not-for-profit,2,4991.7974,1486,11150,13723,0.3571428571428572,6138,NA,NA
3598,Our Lady Of The Lake University,3,TX,Selective private,2,5209.3447,1555,24596,14512,0.3409961685823755,7587,935,NA
22027,Ozark Christian College,2,MO,Nonselective four-year private not-for-profit,2,3995.78,751,11360,10835,0.504950495049505,4654,NA,NA
2791,Pace University,1,NY,Selective private,2,9327.0703,8289,39697,19651,0.5146389069616135,11627,1050,NA
3785,Pacific Lutheran University,4,WA,Selective private,2,9801.4004,3142,36530,17051,0.7044817927170869,7369,1095,NA
1258,Pacific Union College,4,CA,Selective private,2,7862.5454,1645,28131,18430,0.4488888888888889,6452,995,NA
3212,Pacific University,4,OR,Selective private,2,9948.1084,1785,38510,21341,0.6155913978494624,7478,1090,NA
1587,Paine College,3,GA,Selective private,2,7948.5137,924,13332,13763,0.2093023255813954,5423,760,NA
8849,Palm Beach Atlantic University,3,FL,Selective private,2,6542.8379,2887,26274,18750,0.4775413711583925,7362,1044,NA
1512,Palm Beach State College,3,FL,Nonselective four-year public,1,2046.1545,29763,2378,1710,NA,6086,NA,542.31781
2498,Park University,2,MO,Selective private,2,2739.0837,10198,10600,11810,0.4345238095238095,6110,NA,NA
2795,Paul Smith's College Of Arts & Sciences,1,NY,Nonselective four-year private not-for-profit,2,5852.397,981,26146,19154,0.4345549738219895,5447,NA,NA
3786,Peninsula College,4,WA,Nonselective four-year public,1,4079.5825,2405,4191,6180,NA,5884,NA,84.85614
3395,Pennsylvania College Of Technology,1,PA,Selective public,1,8729.8945,5678,15450,19539,0.5546875,8807,NA,NA
3329,Pennsylvania State University,1,PA,Selective public,1,21675.84,70108,16074.466,16871.479,0.6974691400593063,8665.2051,1100.9646,24760.443
1513,Pensacola State College,3,FL,Nonselective four-year public,1,2467.7341,11235,2704,7199,NA,5317,NA,95.644066
10149,Pepperdine University,4,CA,Highly selective private,2,10990.709,3538,46692,17229,0.8042609853528628,11650,1225,NA
2559,Peru State College,2,NE,Selective public,1,2758.4678,2158,5922,10158,0.4010152284263959,6725,NA,NA
