SUPER_OPEID,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc
7191,0.011147317,2.617655e-4,74900,0.091174424,0.15756603,0.23547256,0.30805463,0.20773225,0.020519631,0.0038589404,30200,0.02328188,0.0025963937
5387,0.0065107723,2.1724909e-5,69200,0.077402323,0.15721504,0.31459907,0.34958377,0.10119985,0.0087403329,0.0014895283,34000,0.011153187,4.5512908e-4
1031,0.021727718,1.0572134e-4,53200,0.17717338,0.25719362,0.28633544,0.1992887,0.080008909,0.0053178086,8.537274e-4,30400,0.023532286,0.0016031249
11667,0.018368799,3.6359763e-6,54300,0.13242981,0.24574824,0.33657768,0.21785447,0.067389846,0.0060328464,4.1652512e-4,33800,0.022804147,0.0060749757
4587,0.010094177,1.6543836e-5,64400,0.094035208,0.19781026,0.32558352,0.27774531,0.10482567,0.015598871,0.0016023244,32800,0.018183,0.0019284646
2426,0.014180001,8.7525538e-4,57200,0.15881801,0.2302227,0.26005304,0.24767172,0.10323457,0.016827153,0.0011927059,31500,0.02340509,0.0066120424
5378,0.011879724,6.3317726e-5,60200,0.14266531,0.20020103,0.29054821,0.25283343,0.11375205,0.015532563,0.0013411525,24100,0.0094527733,0.0011776851
23154,0.023203282,8.0515118e-4,51100,0.20428453,0.23020953,0.24651608,0.22405969,0.094930306,0.015438939,0.0023581036,28500,0.034543458,0.0041772425
5301,0.0085158013,4.8554892e-5,74500,0.076292291,0.15460894,0.25797313,0.35009462,0.1610311,0.018515814,0.0041020433,33900,0.016809298,0.0030472488
1693,0.031765535,3.5833358e-4,53300,0.18364094,0.24603903,0.22168316,0.20254305,0.14609383,0.014005082,0.0012983769,34900,0.023043739,0.0036235359
1361,0.012771231,7.3245837e-4,61100,0.13535511,0.21073256,0.29153094,0.2213439,0.14103732,0.024487969,0.0017082356,31600,0.033089653,0.0090156468
3160,0.018652065,0,52800,0.18082963,0.24453008,0.28530326,0.21179807,0.077538952,0.010880452,7.5985445e-4,29400,0.030319115,0.007248187
3161,0.02204542,7.8721892e-4,62100,0.15930955,0.19393104,0.2566807,0.2305093,0.15956941,0.021065805,0.0035520473,33800,0.045847964,0.0072650937
7602,0.0029797165,7.0082708e-5,42200,0.27297705,0.28117678,0.20626365,0.18376634,0.055816241,0.0071508745,0.001859374,21800,0.0078360531,0.0024225286
2199,0.024375604,8.9390454e-4,108300,0.051461115,0.099958181,0.14783362,0.21762224,0.48312482,0.16613449,0.037825361,61800,0.20157698,0.03609914
2174,0.015506657,1.2245324e-5,70700,0.14272831,0.18576141,0.1934405,0.24755377,0.23051596,0.022640295,0.0036006388,31300,0.021348948,0.0016088203
1737,0.016347265,3.2888772e-4,97700,0.053890184,0.10691483,0.16017032,0.2755574,0.40346724,0.067908168,0.0070372932,48000,0.084389977,0.010847681
9275,0.0093852589,2.1264497e-4,86400,0.065365233,0.11068377,0.19793314,0.34269583,0.28332216,0.040114664,0.00534921,36900,0.034755308,0.0062591769
2301,0.013368618,9.7450566e-6,81000,0.071492918,0.12198044,0.23209025,0.31725705,0.25717944,0.041882545,0.0069518657,35800,0.03941438,0.0050819437
3162,0.014481602,0,63000,0.14239503,0.2033028,0.27157655000000003,0.25797066,0.12475507,0.017849594,0.0023161513,29800,0.040679075,0.004749842
3727,0.0251773,2.4379627e-4,86200,0.096939713,0.14982826,0.17760772,0.21693981,0.35868463,0.068937495,0.0062737903,37300,0.053349704,0.0048778011
3930,0.017121376,2.3050103e-5,65300,0.13352288,0.17928806,0.25525424,0.29205158,0.13988329,0.013000075,0.0034548929,30800,0.037962176,0.0016284557
3875,0.0056189671,0,74600,0.06491106,0.14315492,0.26392442,0.27532226,0.25268745,0.064051278,0.01253988,31000,0.023056837,8.5994514e-4
11862,0.019707708,0,46800,0.23593821,0.24534397,0.24983953,0.18423617,0.084642142,0.0086706383,0.0015069466,17800,0.017173881,0.0015395425
5697,0.017577488,0,56300,0.20022525,0.20624296,0.24549651,0.23291942,0.11511601,0.012306204,0.0014039512,26800,0.021527862,0.0016503667
30633,0.01829592,3.2274058e-4,65900,0.12875248,0.19644421,0.24760532,0.2427897,0.18440823,0.053275295,0.0080153467,29500,0.040645104,0.0034125124
3931,0.021750737,1.1483872e-4,60800,0.13950105,0.21724522,0.26464769,0.2680074,0.11059867,0.016443806,0.0016764033,28300,0.028063662,0.0079762666
1510,0.014743016,2.665401e-4,62200,0.12679707,0.19889186,0.28883964,0.2522437,0.13322771,0.023205999,0.0027057428,29000,0.021788137,0.0036083092
4600,0.016086202,7.6253154e-6,62900,0.071676426,0.19234039,0.40036449,0.23865834,0.096960321,0.016288508,0.0011774506,38900,0.032537844,0.0037518153
5267,0.023222327,2.0242933e-5,57100,0.15262705,0.24166563,0.345424,0.18893558,0.071347751,0.0085561462,9.8270446e-4,35300,0.077633426,0.0023882668
2427,0.01302777,4.0939729e-5,51700,0.20949517,0.2464764,0.2130066,0.20514932,0.12587255,0.016905107,0.0016163732,27200,0.019115284,0.0015123229
2496,0.0095001664,7.996026e-4,80900,0.055762999,0.12493704,0.24501672,0.31263024,0.2616531,0.040122032,0.0047043758,41500,0.056231759,0.007601711
1624,0.013963337,3.0228884e-5,83800,0.051745076,0.10435149,0.24355938,0.29447699,0.30586708,0.059668597,0.0042850492,34300,0.068499401,0.01127554
8677,0.0054814965,6.2818915e-5,69200,0.071046233,0.18236615,0.30271417,0.31803334,0.12584005,0.011912753,0.001970192,28800,0.014183791,0.0026138008
3783,0.01429916,9.4687181e-5,80400,0.053097297,0.094374239,0.2687121,0.31554899,0.26826736,0.052667987,0.0059573445,38000,0.031493634,6.1272364e-4
12362,0.023700377,1.0513383e-5,43300,0.24994208,0.28952864,0.2559562,0.14277811,0.061795119,0.0056732763,0.0034456092,25800,0.009966068,5.5507873e-4
1883,0.011893411,2.0857298e-4,75300,0.044364542,0.13359767,0.31532505,0.30425936,0.20245339,0.043637764,0.0096307797,38900,0.055407573,0.0099928938
1398,0.0059925397,3.0188143e-5,78400,0.1004285,0.17144066,0.19039844,0.31679407,0.2209384,0.012431577,0.0026323453,29000,0.019692356,0.001992428
2302,0.010663517,0,69400,0.10402072,0.17723854,0.27509257,0.27417091,0.16947736,0.0405664,0.0028071341,26800,0.021157464,0.0021318113
3163,0.018086972,0,61400,0.10673184,0.22231811,0.31044376,0.25738278,0.1031236,0.012851295,3.7914328e-4,35500,0.072922729,0.017080741
2021,0.02783468,0.0017251825,57700,0.20838663,0.20628677,0.20356153,0.23052073,0.1512443,0.01996897,0.0024015978,32900,0.0478126,0.010768627
1739,0.016942441,0.002434755,168500,0.030700425,0.054111414,0.085163251,0.14800173,0.68202323,0.41565529,0.14244716,72600,0.35380748,0.14205506
4072,0.023574322,0.0029508318,86000,0.096529253,0.13873753,0.18365063,0.22279164,0.35829097,0.1195951,0.036004111,45400,0.13174121,0.03086414
1399,0.025474533,4.568907e-5,70200,0.13317077,0.19901143,0.19316946,0.19889651,0.27575177,0.088001244,0.025087798,31700,0.040989917,0.0044136602
3692,0.027689336,0,88200,0.082054548,0.11774409,0.191221,0.27597296,0.3330074,0.056272771,0.008616888,54600,0.09665136,0.0083696004
2065,0.022400821,0,81100,0.090509392,0.16354635,0.17867346,0.257718,0.30955276,0.053239822,0.0087505076,45900,0.046487585,0.0062945653
1509,0.032588042,0,64000,0.1351656,0.20490465,0.21428558,0.18942094,0.25622326,0.085882805,0.015008927,43500,0.1544039,0.036107812
2790,0.037367687,0,58400,0.18072,0.20561583,0.22266477,0.21440926,0.17659017,0.025571542,0.0048255036,31000,0.037470203,0.0026251338
1824,0.0033326682,6.4481996e-5,60300,0.12364993,0.20521085,0.33562505,0.24034631,0.095167913,0.014625109,5.2906096e-4,27500,0.0048436578,6.608853e-4
2303,0.0083175488,3.3085074e-4,93400,0.077071756,0.1193307,0.15885964,0.2695252,0.37521258,0.06828551,0.010537181,27600,0.025511799,0.0034740227
2307,0.011023696,0,110600,0.050972745,0.079691038,0.12176749,0.25552532,0.49204332,0.094768584,0.016467076,43600,0.074096419,0.012631912
9896,0.019302616,6.6510949e-4,75500,0.10774391,0.17337403,0.20691605,0.23988703,0.27207905,0.058016438,0.010597216,33500,0.042524964,0.005625444
3086,0.012481108,9.4602274e-4,127100,0.041793931,0.068592668,0.12776509,0.19382237,0.56802601,0.29523271,0.077537186,38900,0.086156696,0.016003484
1249,0.033389218,0.0017558632,122400,0.085336223,0.098447613,0.12118489,0.17474446,0.5202868,0.27686492,0.086651601,49000,0.1385643,0.039994642
